"Jelölt neve","Nemzetiség","Státusz","OEVK","Állapotváltozás dátuma","Jelölő szervezet neve","Lista típusa"
"ABA-HORVÁTH ISTVÁN","Roma","Nyilvántartásba véve","","2026. március 2.","Magyarországi Romák Országos Önkormányzata","Nemzetiségi lista"
"ABARI MÁTÉ","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"ABDALLAH-MAGDY SZABRINA","","Nyilvántartásba véve","Baranya vármegye, 04. számú egyéni választókerület","2026. március 12.","Magyar Kétfarkú Kutya Párt",""
"ÁBRAHÁM BARNABÁS","","Nyilvántartásba véve","Komárom-Esztergom vármegye, 03. számú egyéni választókerület","2026. március 2.","Mi Hazánk Mozgalom",""
"ÁBRAHÁM BARNABÁS","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"ÁCS JÓZSEF","","Nyilvántartásba véve","Baranya vármegye, 04. számú egyéni választókerület","2026. március 2.","Mi Hazánk Mozgalom",""
"ÁCS JÓZSEF","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"ÁCS LÁSZLÓ","","Nem kíván indulni","Budapest főváros, 03. számú egyéni választókerület","2026. március 6.","Független jelölt",""
"ACSAI BALÁZS","","Nyilvántartásba vétel visszautasítva","Jász-Nagykun-Szolnok vármegye, 01. számú egyéni választókerület","2026. március 10.","Jobbik Magyarországért Mozgalom",""
"ÁDÁM EMESE","","Nyilvántartásba véve","Pest vármegye, 05. számú egyéni választókerület","2026. március 9.","Magyar Kétfarkú Kutya Párt",""
"ÁDÁM EMESE","","Nyilvántartásba véve","","2026. március 10.","Magyar Kétfarkú Kutya Párt","Önálló lista"
"ADAMASKY LŐRINC","","Nyilvántartásba véve","Fejér vármegye, 04. számú egyéni választókerület","2026. március 5.","Mi Hazánk Mozgalom",""
"ADAMASKY LŐRINC","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"ADAME DONÁT","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"ADORJÁN BÉLA","","Nyilvántartásba véve","Szabolcs-Szatmár-Bereg vármegye, 04. számú egyéni választókerület","2026. március 2.","Jobbik Magyarországért Mozgalom",""
"ÁGH PÉTER","","Nyilvántartásba véve","Vas vármegye, 02. számú egyéni választókerület","2026. február 24.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"ÁGH PÉTER","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"AKOPJAN NIKOGOSZ","Örmény","Nyilvántartásba véve","","2026. március 2.","Országos Örmény Önkormányzat","Nemzetiségi lista"
"ALEX ÁGNES KORNÉLIA","","Nyilvántartásba vétel visszautasítva","","2026. március 11.","Tea Párt Közösség","Önálló lista"
"ANDER BALÁZS","","Nyilvántartásba véve","Somogy vármegye, 02. számú egyéni választókerület","2026. március 9.","Jobbik Magyarországért Mozgalom",""
"ANDÓ GÁBOR","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"ANDONOV ALEKSZI","Bolgár","Nyilvántartásba véve","","2026. március 2.","Bolgár Országos Önkormányzat","Nemzetiségi lista"
"ANDRÁS KÁROLY","","Nyilvántartásba véve","Bács-Kiskun vármegye, 01. számú egyéni választókerület","2026. február 28.","Mi Hazánk Mozgalom",""
"ANDRÁS KÁROLY","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"ANGYAL ANNA","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"ANTAL GÉZA","","Nem kíván indulni","Vas vármegye, 02. számú egyéni választókerület","2026. március 4.","Független jelölt",""
"ANTAL PÉTER","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
